region,year,injuries,deaths,severe_in_city,severe_out_city,severe_total,vehicles_new,vehicles_renewal,licenses_new,licenses_renewal,road_density_per_capita,road_density_per_area,vehicles_total,licenses_total,deaths_per_1k_vehicles,injuries_per_1k_vehicles,severe_per_1k_vehicles,fatality_ratio,region_ar
Al-Baha,2020,628.0,95.0,,,,1193,16970,5843,3447,,,18163,9290,5.230413477949678,34.57578593844629,,0.1313969571230982,الباحة
Al-Baha,2021,565.0,92.0,,,388.0,1325,10724,8336,2337,,,12049,10673,7.635488422275707,46.89185824549755,32.20184247655407,0.1400304414003044,الباحة
Al-Baha,2022,526.0,98.0,,,344.0,1041,11010,13075,1675,,,12051,14750,8.13210521948386,43.64783005559705,28.545348933698445,0.157051282051282,الباحة
Al-Baha,2023,500.0,67.0,,,301.0,1279,11837,11747,1454,,,13116,13201,5.10826471485209,38.12137846904544,22.949069838365357,0.1181657848324514,الباحة
Al-Baha,2024,551.0,61.0,146.0,201.0,347.0,1577,12571,12512,1791,0.0199252106300299,0.6431089807589525,14148,14303,4.311563471868816,38.94543398360192,24.526434831778342,0.099673202614379,الباحة
Al-Jouf,2020,359.0,118.0,,,,6015,23001,9069,3281,,,29016,12350,4.0667218086572925,12.372484146677696,,0.2473794549266247,الجوف
Al-Jouf,2021,423.0,105.0,,,321.0,8218,17861,14324,3607,,,26079,17931,4.02622799953986,16.21994708386058,12.308754170021857,0.1988636363636363,الجوف
Al-Jouf,2022,191.0,82.0,,,188.0,7597,19940,17746,2880,,,27537,20626,2.977811671569161,6.936122308167193,6.827177978719541,0.3003663003663003,الجوف
Al-Jouf,2023,133.0,58.0,,,110.0,6522,19639,15639,5454,,,26161,21093,2.2170406330033257,5.083903520507626,4.204732235006307,0.3036649214659686,الجوف
Al-Jouf,2024,132.0,61.0,91.0,43.0,134.0,5941,23602,15805,6044,0.017727218346462,0.1321177388272363,29543,21849,2.064786920759571,4.468063500660055,4.535761432488237,0.3160621761658031,الجوف
Aseer,2020,1718.0,601.0,,,,18270,84151,36408,11024,,,102421,47432,5.86793723943332,16.77390378926197,,0.2591634325140146,عسير
Aseer,2021,1621.0,536.0,,,1072.0,19880,61302,59495,12771,,,81182,72266,6.602448818703654,19.96748047596758,13.204897637407308,0.2484932777005099,عسير
Aseer,2022,1337.0,456.0,,,927.0,15384,64696,65277,11367,,,80080,76644,5.694305694305695,16.695804195804197,11.575924075924076,0.2543223647518126,عسير
Aseer,2023,1055.0,433.0,,,644.0,17837,68553,69192,10237,,,86390,79429,5.012154184512096,12.212061581201528,7.454566500752401,0.290994623655914,عسير
Aseer,2024,1226.0,460.0,104.0,688.0,792.0,18679,79058,73106,14502,0.0141784262627383,0.3958258937796856,97737,87608,4.706508282431423,12.543867726654184,8.103379477577581,0.2728351126927639,عسير
Eastern,2020,2121.0,480.0,,,,58700,375087,113610,43008,,,433787,156618,1.106533851867391,4.8894964579390345,,0.1845444059976932,المنطقة الشرقية
Eastern,2021,2162.0,499.0,,,1636.0,73729,303085,162452,45555,,,376814,208007,1.324260775873508,5.737578752381811,4.341664587833786,0.1875234874107478,المنطقة الشرقية
Eastern,2022,2591.0,508.0,,,1862.0,70952,327503,187164,40893,,,398455,228057,1.274924395477532,6.50261635567379,4.673049654289694,0.1639238464020651,المنطقة الشرقية
Eastern,2023,2358.0,528.0,,,1734.0,94352,323787,211378,41483,,,418139,252861,1.2627379890419217,5.639273064698581,4.14694635037631,0.1829521829521829,المنطقة الشرقية
Eastern,2024,2330.0,496.0,998.0,724.0,1722.0,106370,366577,207868,49949,0.0067729549298167,0.0713072496079868,472947,257817,1.048743305275221,4.926556252603357,3.640999942911151,0.1755130927105449,المنطقة الشرقية
Hail,2020,601.0,164.0,,,,4646,27967,7977,4765,,,32613,12742,5.028669548952871,18.428234139760217,,0.2143790849673202,حائل
Hail,2021,473.0,141.0,,,446.0,4325,21601,13367,4578,,,25926,17945,5.438555889840314,18.244233587904034,17.202807991977163,0.2296416938110749,حائل
Hail,2022,201.0,120.0,,,245.0,3097,23165,14259,4256,,,26262,18515,4.569339730408956,7.653644048435001,9.329068616251618,0.3738317757009345,حائل
Hail,2023,78.0,84.0,,,127.0,4686,22586,14023,4602,,,27272,18625,3.080082135523614,2.8600762687004986,4.65679084775594,0.5185185185185185,حائل
Hail,2024,182.0,109.0,115.0,88.0,203.0,7431,26486,12958,5812,0.0248178446207366,0.1577484611652757,33917,18770,3.213727629212489,5.366040628593331,5.985199162661792,0.3745704467353952,حائل
Jazan,2020,1841.0,327.0,,,,9865,37716,14623,2268,,,47581,16891,6.872491120405203,38.69191483995713,,0.150830258302583,جازان
Jazan,2021,1545.0,368.0,,,1042.0,12080,26074,22406,2769,,,38154,25175,9.645122398700003,40.49378833149866,27.31037374849295,0.1923680083638264,جازان
Jazan,2022,1215.0,362.0,,,822.0,10905,27770,25569,2974,,,38675,28543,9.36005171299289,31.41564318034906,21.25404007756949,0.2295497780596068,جازان
Jazan,2023,1029.0,287.0,,,752.0,10906,29803,38098,2903,,,40709,41001,7.050038075118524,25.276965781522517,18.47257363236631,0.2180851063829787,جازان
Jazan,2024,1109.0,256.0,222.0,505.0,727.0,14115,34552,38408,3845,0.0060742422506827,0.685022907290193,48667,42253,5.260237943575729,22.7875151540058,14.938253847576386,0.1875457875457875,جازان
Madinah,2020,2607.0,308.0,,,,8018,55402,25320,6146,,,63420,31466,4.856512141280353,41.106906338694415,,0.1056603773584905,المدينة المنورة
Madinah,2021,2653.0,276.0,,,1767.0,12182,37569,40140,7019,,,49751,47159,5.547627183373199,53.325561295250345,35.516874032682765,0.094230112666439,المدينة المنورة
Madinah,2022,2652.0,292.0,,,1737.0,12056,40773,48380,6852,,,52829,55232,5.527267220655322,50.19970092184217,32.87966836396676,0.0991847826086956,المدينة المنورة
Madinah,2023,3109.0,309.0,,,2068.0,16576,39978,52438,6886,,,56554,59324,5.46380450542844,54.97400714361496,36.56682109134633,0.0904037448800468,المدينة المنورة
Madinah,2024,2630.0,264.0,1126.0,651.0,1777.0,21185,48402,55643,9683,0.0123036603333703,0.1978839269818041,69587,65326,3.7938120625978993,37.79441562360786,25.53637892135025,0.0912232204561161,المدينة المنورة
Makkah,2020,8502.0,953.0,,,,46568,426231,116807,19722,,,472799,136529,2.01565570147145,17.98227153610731,,0.1007932310946589,مكة المكرمة
Makkah,2021,8827.0,945.0,,,5885.0,59089,304459,165145,22781,,,363548,187926,2.599381649740887,24.280150076468583,16.18768360711653,0.0967048710601719,مكة المكرمة
Makkah,2022,8879.0,1101.0,,,5925.0,61007,326687,181711,21896,,,387694,203607,2.8398685561293187,22.90208257027449,15.282671385164589,0.1103206412825651,مكة المكرمة
Makkah,2023,9143.0,1157.0,,,6139.0,92419,315668,218167,24954,,,408087,243121,2.8351797533369107,22.40453628760534,15.043360851975192,0.1123300970873786,مكة المكرمة
Makkah,2024,8211.0,1054.0,3620.0,2205.0,5825.0,117050,364938,255964,27903,0.0063764679668665,0.4007544974648048,481988,283867,2.186776434268073,17.035693834701277,12.085363121073554,0.1137614678899082,مكة المكرمة
Najran,2020,512.0,114.0,,,,5497,21020,10045,4682,,,26517,14727,4.299128860730852,19.308368216615754,,0.182108626198083,نجران
Najran,2021,508.0,133.0,,,414.0,4421,17042,12553,4074,,,21463,16627,6.196710618273308,23.66863905325444,19.289008992219166,0.2074882995319812,نجران
Najran,2022,228.0,108.0,,,194.0,4872,17412,14261,3967,,,22284,18228,4.846526655896607,10.231556273559503,8.70579788188835,0.3214285714285714,نجران
Najran,2023,133.0,63.0,,,98.0,6865,19214,16794,3974,,,26079,20768,2.415736799723916,5.099888799417156,3.757812799570536,0.3214285714285714,نجران
Najran,2024,263.0,93.0,87.0,108.0,195.0,8061,21938,17635,4381,0.0130402798469749,0.06554312945668,29999,22016,3.100103336777893,8.766958898629953,6.50021667388913,0.2612359550561798,نجران
Northern Borders,2020,320.0,72.0,,,,1676,10718,5103,3872,,,12394,8975,5.809262546393416,25.818944650637405,,0.1836734693877551,الحدود الشمالية
Northern Borders,2021,366.0,56.0,,,234.0,1582,8003,7209,4385,,,9585,11594,5.84246218049035,38.18466353677621,24.413145539906104,0.1327014218009478,الحدود الشمالية
Northern Borders,2022,362.0,54.0,,,254.0,1198,8516,9778,3420,,,9714,13198,5.558987029030265,37.26580193535104,26.14782787729051,0.1298076923076923,الحدود الشمالية
Northern Borders,2023,262.0,51.0,,,206.0,1805,9018,24735,2335,,,10823,27070,4.712187009147187,24.20770581169731,19.03353968400629,0.1629392971246006,الحدود الشمالية
Northern Borders,2024,222.0,45.0,131.0,47.0,178.0,2114,10141,20206,2864,0.0176513062099925,0.0775105970289745,12255,23070,3.6719706242350063,18.115055079559365,14.52468380252958,0.1685393258426966,الحدود الشمالية
Qassim,2020,1265.0,214.0,,,,22258,81680,26943,8776,,,103938,35719,2.058919740614597,12.170717158305912,,0.1446923597025017,القصيم
Qassim,2021,1168.0,266.0,,,854.0,25894,59058,39325,8548,,,84952,47873,3.131179960448253,13.74894057820887,10.05273566249176,0.1854951185495118,القصيم
Qassim,2022,1150.0,221.0,,,790.0,23131,66964,45653,7389,,,90095,53042,2.452966313335923,12.764304345413176,8.768522115544704,0.1611962071480671,القصيم
Qassim,2023,1069.0,223.0,,,695.0,25075,71353,43412,7170,,,96428,50582,2.312606296926204,11.085991620691086,7.207450118222923,0.1726006191950464,القصيم
Qassim,2024,919.0,196.0,395.0,268.0,663.0,23235,82928,44046,9551,0.0171870214471163,0.3558963048831475,106163,53597,1.8462176087714173,8.656499910514963,6.245113645997193,0.1757847533632287,القصيم
Riyadh,2020,4286.0,971.0,,,,134532,558342,193080,55095,,,692874,248175,1.4014092028276426,6.185828880864341,,0.1847061061441887,الرياض
Riyadh,2021,4552.0,1035.0,,,3621.0,150168,418962,257099,51202,,,569130,308301,1.818565178430236,7.998172649482544,6.362342522797955,0.1852514766422051,الرياض
Riyadh,2022,4585.0,960.0,,,3303.0,145794,487787,305998,46711,,,633581,352709,1.5151969519287982,7.236643775618271,5.213224512730022,0.1731289449954914,الرياض
Riyadh,2023,4646.0,956.0,,,3315.0,189041,490581,435904,38437,,,679622,474341,1.4066642927980553,6.8361530380123074,4.877711433708738,0.170653338093538,الرياض
Riyadh,2024,5503.0,953.0,3150.0,1046.0,4196.0,266936,562097,471526,44759,0.0064880282922965,0.1619940283517024,829033,516285,1.1495320451658742,6.637853981687098,5.061318427613859,0.1476146220570012,الرياض
Tabuk,2020,801.0,201.0,,,,4317,30841,15320,5353,,,35158,20673,5.717048751351044,22.782865919563115,,0.2005988023952095,تبوك
Tabuk,2021,649.0,200.0,,,522.0,5382,22699,24448,5987,,,28081,30435,7.1222534810013896,23.111712545849507,18.589081585413624,0.2355712603062426,تبوك
Tabuk,2022,529.0,193.0,,,371.0,4628,23393,31587,4695,,,28021,36282,6.887691374326399,18.878698119267693,13.240069947539348,0.2673130193905817,تبوك
Tabuk,2023,487.0,207.0,,,345.0,5049,24961,39888,5096,,,30010,44984,6.897700766411196,16.227924025324892,11.49616794401866,0.2982708933717579,تبوك
Tabuk,2024,799.0,234.0,207.0,265.0,472.0,5471,28071,44836,6183,0.0154597212669505,0.1095251822691501,33542,51019,6.976328185558404,23.82088128316737,14.071909844374217,0.2265246853823814,تبوك
