region,region_ar,year,metric,value
Makkah,مكة المكرمة,2023,licenses_total,243121
Makkah,مكة المكرمة,2024,licenses_total,283867
Najran,نجران,2020,licenses_total,14727
Najran,نجران,2021,licenses_total,16627
Najran,نجران,2022,licenses_total,18228
Najran,نجران,2023,licenses_total,20768
Najran,نجران,2024,licenses_total,22016
Northern Borders,الحدود الشمالية,2020,licenses_total,8975
Northern Borders,الحدود الشمالية,2021,licenses_total,11594
Northern Borders,الحدود الشمالية,2022,licenses_total,13198
Northern Borders,الحدود الشمالية,2023,licenses_total,27070
Northern Borders,الحدود الشمالية,2024,licenses_total,23070
Qassim,القصيم,2020,licenses_total,35719
Qassim,القصيم,2021,licenses_total,47873
Qassim,القصيم,2022,licenses_total,53042
Qassim,القصيم,2023,licenses_total,50582
Qassim,القصيم,2024,licenses_total,53597
Riyadh,الرياض,2020,licenses_total,248175
Riyadh,الرياض,2021,licenses_total,308301
Riyadh,الرياض,2022,licenses_total,352709
Riyadh,الرياض,2023,licenses_total,474341
Riyadh,الرياض,2024,licenses_total,516285
Tabuk,تبوك,2020,licenses_total,20673
Tabuk,تبوك,2021,licenses_total,30435
Tabuk,تبوك,2022,licenses_total,36282
Tabuk,تبوك,2023,licenses_total,44984
Tabuk,تبوك,2024,licenses_total,51019
Al-Baha,الباحة,2020,deaths_per_1k_vehicles,5.230413477949678
Al-Baha,الباحة,2021,deaths_per_1k_vehicles,7.635488422275707
Al-Baha,الباحة,2022,deaths_per_1k_vehicles,8.13210521948386
Al-Baha,الباحة,2023,deaths_per_1k_vehicles,5.10826471485209
Al-Baha,الباحة,2024,deaths_per_1k_vehicles,4.311563471868816
Al-Jouf,الجوف,2020,deaths_per_1k_vehicles,4.0667218086572925
Al-Jouf,الجوف,2021,deaths_per_1k_vehicles,4.02622799953986
Al-Jouf,الجوف,2022,deaths_per_1k_vehicles,2.977811671569161
Al-Jouf,الجوف,2023,deaths_per_1k_vehicles,2.2170406330033257
Al-Jouf,الجوف,2024,deaths_per_1k_vehicles,2.064786920759571
Aseer,عسير,2020,deaths_per_1k_vehicles,5.86793723943332
Aseer,عسير,2021,deaths_per_1k_vehicles,6.602448818703654
Aseer,عسير,2022,deaths_per_1k_vehicles,5.694305694305695
Aseer,عسير,2023,deaths_per_1k_vehicles,5.012154184512096
Aseer,عسير,2024,deaths_per_1k_vehicles,4.706508282431423
Eastern,المنطقة الشرقية,2020,deaths_per_1k_vehicles,1.106533851867391
Eastern,المنطقة الشرقية,2021,deaths_per_1k_vehicles,1.3242607758735079
Eastern,المنطقة الشرقية,2022,deaths_per_1k_vehicles,1.274924395477532
Eastern,المنطقة الشرقية,2023,deaths_per_1k_vehicles,1.2627379890419215
Eastern,المنطقة الشرقية,2024,deaths_per_1k_vehicles,1.048743305275221
Hail,حائل,2020,deaths_per_1k_vehicles,5.028669548952871
Hail,حائل,2021,deaths_per_1k_vehicles,5.438555889840314
Hail,حائل,2022,deaths_per_1k_vehicles,4.569339730408956
Hail,حائل,2023,deaths_per_1k_vehicles,3.080082135523614
Hail,حائل,2024,deaths_per_1k_vehicles,3.2137276292124892
Jazan,جازان,2020,deaths_per_1k_vehicles,6.872491120405203
Jazan,جازان,2021,deaths_per_1k_vehicles,9.645122398700005
Jazan,جازان,2022,deaths_per_1k_vehicles,9.36005171299289
Jazan,جازان,2023,deaths_per_1k_vehicles,7.050038075118524
Jazan,جازان,2024,deaths_per_1k_vehicles,5.260237943575729
Madinah,المدينة المنورة,2020,deaths_per_1k_vehicles,4.856512141280353
Madinah,المدينة المنورة,2021,deaths_per_1k_vehicles,5.547627183373199
Madinah,المدينة المنورة,2022,deaths_per_1k_vehicles,5.527267220655322
Madinah,المدينة المنورة,2023,deaths_per_1k_vehicles,5.46380450542844
Madinah,المدينة المنورة,2024,deaths_per_1k_vehicles,3.7938120625978993
Makkah,مكة المكرمة,2020,deaths_per_1k_vehicles,2.01565570147145
Makkah,مكة المكرمة,2021,deaths_per_1k_vehicles,2.599381649740887
Makkah,مكة المكرمة,2022,deaths_per_1k_vehicles,2.8398685561293187
Makkah,مكة المكرمة,2023,deaths_per_1k_vehicles,2.8351797533369107
Makkah,مكة المكرمة,2024,deaths_per_1k_vehicles,2.186776434268073
Najran,نجران,2020,deaths_per_1k_vehicles,4.299128860730852
Najran,نجران,2021,deaths_per_1k_vehicles,6.196710618273308
Najran,نجران,2022,deaths_per_1k_vehicles,4.846526655896607
Najran,نجران,2023,deaths_per_1k_vehicles,2.415736799723916
Najran,نجران,2024,deaths_per_1k_vehicles,3.100103336777893
Northern Borders,الحدود الشمالية,2020,deaths_per_1k_vehicles,5.809262546393416
Northern Borders,الحدود الشمالية,2021,deaths_per_1k_vehicles,5.84246218049035
Northern Borders,الحدود الشمالية,2022,deaths_per_1k_vehicles,5.558987029030265
Northern Borders,الحدود الشمالية,2023,deaths_per_1k_vehicles,4.712187009147187
Northern Borders,الحدود الشمالية,2024,deaths_per_1k_vehicles,3.6719706242350063
Qassim,القصيم,2020,deaths_per_1k_vehicles,2.058919740614597
Qassim,القصيم,2021,deaths_per_1k_vehicles,3.131179960448253
Qassim,القصيم,2022,deaths_per_1k_vehicles,2.452966313335923
Qassim,القصيم,2023,deaths_per_1k_vehicles,2.3126062969262042
Qassim,القصيم,2024,deaths_per_1k_vehicles,1.8462176087714175
Riyadh,الرياض,2020,deaths_per_1k_vehicles,1.4014092028276426
Riyadh,الرياض,2021,deaths_per_1k_vehicles,1.8185651784302357
Riyadh,الرياض,2022,deaths_per_1k_vehicles,1.5151969519287982
Riyadh,الرياض,2023,deaths_per_1k_vehicles,1.4066642927980553
Riyadh,الرياض,2024,deaths_per_1k_vehicles,1.1495320451658742
Tabuk,تبوك,2020,deaths_per_1k_vehicles,5.717048751351044
Tabuk,تبوك,2021,deaths_per_1k_vehicles,7.1222534810013896
Tabuk,تبوك,2022,deaths_per_1k_vehicles,6.8876913743263986
Tabuk,تبوك,2023,deaths_per_1k_vehicles,6.897700766411196
Tabuk,تبوك,2024,deaths_per_1k_vehicles,6.976328185558404
Al-Baha,الباحة,2020,injuries_per_1k_vehicles,34.57578593844629
Al-Baha,الباحة,2021,injuries_per_1k_vehicles,46.89185824549755
Al-Baha,الباحة,2022,injuries_per_1k_vehicles,43.64783005559705
Al-Baha,الباحة,2023,injuries_per_1k_vehicles,38.12137846904544
Al-Baha,الباحة,2024,injuries_per_1k_vehicles,38.94543398360192
Al-Jouf,الجوف,2020,injuries_per_1k_vehicles,12.372484146677696
Al-Jouf,الجوف,2021,injuries_per_1k_vehicles,16.21994708386058
Al-Jouf,الجوف,2022,injuries_per_1k_vehicles,6.936122308167193
Al-Jouf,الجوف,2023,injuries_per_1k_vehicles,5.083903520507626
Al-Jouf,الجوف,2024,injuries_per_1k_vehicles,4.468063500660055
Aseer,عسير,2020,injuries_per_1k_vehicles,16.77390378926197
Aseer,عسير,2021,injuries_per_1k_vehicles,19.96748047596758
Aseer,عسير,2022,injuries_per_1k_vehicles,16.695804195804197
Aseer,عسير,2023,injuries_per_1k_vehicles,12.212061581201528
Aseer,عسير,2024,injuries_per_1k_vehicles,12.543867726654184
Eastern,المنطقة الشرقية,2020,injuries_per_1k_vehicles,4.8894964579390345
Eastern,المنطقة الشرقية,2021,injuries_per_1k_vehicles,5.737578752381811
Eastern,المنطقة الشرقية,2022,injuries_per_1k_vehicles,6.50261635567379
Eastern,المنطقة الشرقية,2023,injuries_per_1k_vehicles,5.639273064698581
Eastern,المنطقة الشرقية,2024,injuries_per_1k_vehicles,4.926556252603357
Hail,حائل,2020,injuries_per_1k_vehicles,18.428234139760217
Hail,حائل,2021,injuries_per_1k_vehicles,18.244233587904034
Hail,حائل,2022,injuries_per_1k_vehicles,7.653644048435001
Hail,حائل,2023,injuries_per_1k_vehicles,2.8600762687004986
Hail,حائل,2024,injuries_per_1k_vehicles,5.366040628593331
Jazan,جازان,2020,injuries_per_1k_vehicles,38.69191483995713
Jazan,جازان,2021,injuries_per_1k_vehicles,40.49378833149866
Jazan,جازان,2022,injuries_per_1k_vehicles,31.41564318034906
Jazan,جازان,2023,injuries_per_1k_vehicles,25.276965781522513
Jazan,جازان,2024,injuries_per_1k_vehicles,22.787515154005796
Madinah,المدينة المنورة,2020,injuries_per_1k_vehicles,41.106906338694415
Madinah,المدينة المنورة,2021,injuries_per_1k_vehicles,53.325561295250345
Madinah,المدينة المنورة,2022,injuries_per_1k_vehicles,50.19970092184217
Madinah,المدينة المنورة,2023,injuries_per_1k_vehicles,54.974007143614955
Madinah,المدينة المنورة,2024,injuries_per_1k_vehicles,37.79441562360786
Makkah,مكة المكرمة,2020,injuries_per_1k_vehicles,17.98227153610731
Makkah,مكة المكرمة,2021,injuries_per_1k_vehicles,24.280150076468583
Makkah,مكة المكرمة,2022,injuries_per_1k_vehicles,22.902082570274494
Makkah,مكة المكرمة,2023,injuries_per_1k_vehicles,22.40453628760534
Makkah,مكة المكرمة,2024,injuries_per_1k_vehicles,17.035693834701277
Najran,نجران,2020,injuries_per_1k_vehicles,19.308368216615754
Najran,نجران,2021,injuries_per_1k_vehicles,23.668639053254438
Najran,نجران,2022,injuries_per_1k_vehicles,10.231556273559503
Najran,نجران,2023,injuries_per_1k_vehicles,5.099888799417156
Najran,نجران,2024,injuries_per_1k_vehicles,8.766958898629953
Northern Borders,الحدود الشمالية,2020,injuries_per_1k_vehicles,25.818944650637405
Northern Borders,الحدود الشمالية,2021,injuries_per_1k_vehicles,38.18466353677621
Northern Borders,الحدود الشمالية,2022,injuries_per_1k_vehicles,37.26580193535104
Northern Borders,الحدود الشمالية,2023,injuries_per_1k_vehicles,24.20770581169731
Northern Borders,الحدود الشمالية,2024,injuries_per_1k_vehicles,18.115055079559365
Qassim,القصيم,2020,injuries_per_1k_vehicles,12.170717158305912
Qassim,القصيم,2021,injuries_per_1k_vehicles,13.74894057820887
Qassim,القصيم,2022,injuries_per_1k_vehicles,12.764304345413175
Qassim,القصيم,2023,injuries_per_1k_vehicles,11.085991620691086
Qassim,القصيم,2024,injuries_per_1k_vehicles,8.656499910514963
Riyadh,الرياض,2020,injuries_per_1k_vehicles,6.185828880864341
Riyadh,الرياض,2021,injuries_per_1k_vehicles,7.998172649482544
Riyadh,الرياض,2022,injuries_per_1k_vehicles,7.236643775618271
Riyadh,الرياض,2023,injuries_per_1k_vehicles,6.8361530380123074
Riyadh,الرياض,2024,injuries_per_1k_vehicles,6.637853981687098
Tabuk,تبوك,2020,injuries_per_1k_vehicles,22.782865919563115
Tabuk,تبوك,2021,injuries_per_1k_vehicles,23.111712545849507
Tabuk,تبوك,2022,injuries_per_1k_vehicles,18.878698119267693
Tabuk,تبوك,2023,injuries_per_1k_vehicles,16.227924025324892
Tabuk,تبوك,2024,injuries_per_1k_vehicles,23.820881283167374
Al-Baha,الباحة,2020,severe_per_1k_vehicles,
Al-Baha,الباحة,2021,severe_per_1k_vehicles,32.20184247655407
Al-Baha,الباحة,2022,severe_per_1k_vehicles,28.545348933698445
Al-Baha,الباحة,2023,severe_per_1k_vehicles,22.949069838365354
Al-Baha,الباحة,2024,severe_per_1k_vehicles,24.526434831778342
Al-Jouf,الجوف,2020,severe_per_1k_vehicles,
Al-Jouf,الجوف,2021,severe_per_1k_vehicles,12.308754170021857
Al-Jouf,الجوف,2022,severe_per_1k_vehicles,6.827177978719541
Al-Jouf,الجوف,2023,severe_per_1k_vehicles,4.204732235006307
Al-Jouf,الجوف,2024,severe_per_1k_vehicles,4.535761432488237
Aseer,عسير,2020,severe_per_1k_vehicles,
Aseer,عسير,2021,severe_per_1k_vehicles,13.204897637407308
Aseer,عسير,2022,severe_per_1k_vehicles,11.575924075924076
Aseer,عسير,2023,severe_per_1k_vehicles,7.454566500752401
Aseer,عسير,2024,severe_per_1k_vehicles,8.103379477577581
Eastern,المنطقة الشرقية,2020,severe_per_1k_vehicles,
Eastern,المنطقة الشرقية,2021,severe_per_1k_vehicles,4.341664587833786
Eastern,المنطقة الشرقية,2022,severe_per_1k_vehicles,4.673049654289694
Eastern,المنطقة الشرقية,2023,severe_per_1k_vehicles,4.14694635037631
Eastern,المنطقة الشرقية,2024,severe_per_1k_vehicles,3.640999942911151
Hail,حائل,2020,severe_per_1k_vehicles,
Hail,حائل,2021,severe_per_1k_vehicles,17.202807991977163
Hail,حائل,2022,severe_per_1k_vehicles,9.329068616251618
Hail,حائل,2023,severe_per_1k_vehicles,4.65679084775594
Hail,حائل,2024,severe_per_1k_vehicles,5.985199162661792
Jazan,جازان,2020,severe_per_1k_vehicles,
Jazan,جازان,2021,severe_per_1k_vehicles,27.31037374849295
Jazan,جازان,2022,severe_per_1k_vehicles,21.254040077569492
Jazan,جازان,2023,severe_per_1k_vehicles,18.47257363236631
Jazan,جازان,2024,severe_per_1k_vehicles,14.938253847576386
Madinah,المدينة المنورة,2020,severe_per_1k_vehicles,
Madinah,المدينة المنورة,2021,severe_per_1k_vehicles,35.516874032682765
Madinah,المدينة المنورة,2022,severe_per_1k_vehicles,32.87966836396676
Madinah,المدينة المنورة,2023,severe_per_1k_vehicles,36.56682109134633
Madinah,المدينة المنورة,2024,severe_per_1k_vehicles,25.536378921350252
Makkah,مكة المكرمة,2020,severe_per_1k_vehicles,
Makkah,مكة المكرمة,2021,severe_per_1k_vehicles,16.18768360711653
Makkah,مكة المكرمة,2022,severe_per_1k_vehicles,15.282671385164589
Makkah,مكة المكرمة,2023,severe_per_1k_vehicles,15.043360851975192
Makkah,مكة المكرمة,2024,severe_per_1k_vehicles,12.085363121073554
Najran,نجران,2020,severe_per_1k_vehicles,
Najran,نجران,2021,severe_per_1k_vehicles,19.289008992219166
Najran,نجران,2022,severe_per_1k_vehicles,8.70579788188835
Najran,نجران,2023,severe_per_1k_vehicles,3.757812799570536
Najran,نجران,2024,severe_per_1k_vehicles,6.50021667388913
Northern Borders,الحدود الشمالية,2020,severe_per_1k_vehicles,
Northern Borders,الحدود الشمالية,2021,severe_per_1k_vehicles,24.413145539906104
Northern Borders,الحدود الشمالية,2022,severe_per_1k_vehicles,26.14782787729051
Northern Borders,الحدود الشمالية,2023,severe_per_1k_vehicles,19.033539684006286
Northern Borders,الحدود الشمالية,2024,severe_per_1k_vehicles,14.52468380252958
Qassim,القصيم,2020,severe_per_1k_vehicles,
Qassim,القصيم,2021,severe_per_1k_vehicles,10.05273566249176
Qassim,القصيم,2022,severe_per_1k_vehicles,8.768522115544704
Qassim,القصيم,2023,severe_per_1k_vehicles,7.207450118222923
Qassim,القصيم,2024,severe_per_1k_vehicles,6.245113645997193
Riyadh,الرياض,2020,severe_per_1k_vehicles,
Riyadh,الرياض,2021,severe_per_1k_vehicles,6.362342522797955
Riyadh,الرياض,2022,severe_per_1k_vehicles,5.213224512730022
Riyadh,الرياض,2023,severe_per_1k_vehicles,4.877711433708738
Riyadh,الرياض,2024,severe_per_1k_vehicles,5.061318427613859
Tabuk,تبوك,2020,severe_per_1k_vehicles,
Tabuk,تبوك,2021,severe_per_1k_vehicles,18.589081585413624
Tabuk,تبوك,2022,severe_per_1k_vehicles,13.240069947539347
Tabuk,تبوك,2023,severe_per_1k_vehicles,11.49616794401866
Tabuk,تبوك,2024,severe_per_1k_vehicles,14.071909844374217
Al-Baha,الباحة,2020,fatality_ratio,0.1313969571230982
Al-Baha,الباحة,2021,fatality_ratio,0.1400304414003044
Al-Baha,الباحة,2022,fatality_ratio,0.15705128205128205
Al-Baha,الباحة,2023,fatality_ratio,0.11816578483245149
Al-Baha,الباحة,2024,fatality_ratio,0.09967320261437909
Al-Jouf,الجوف,2020,fatality_ratio,0.24737945492662475
Al-Jouf,الجوف,2021,fatality_ratio,0.19886363636363635
Al-Jouf,الجوف,2022,fatality_ratio,0.30036630036630035
Al-Jouf,الجوف,2023,fatality_ratio,0.3036649214659686
Al-Jouf,الجوف,2024,fatality_ratio,0.3160621761658031
Aseer,عسير,2020,fatality_ratio,0.25916343251401464
Aseer,عسير,2021,fatality_ratio,0.24849327770050997
Aseer,عسير,2022,fatality_ratio,0.2543223647518126
Aseer,عسير,2023,fatality_ratio,0.290994623655914
Aseer,عسير,2024,fatality_ratio,0.27283511269276395
Eastern,المنطقة الشرقية,2020,fatality_ratio,0.1845444059976932
Eastern,المنطقة الشرقية,2021,fatality_ratio,0.18752348741074784
Eastern,المنطقة الشرقية,2022,fatality_ratio,0.16392384640206517
Eastern,المنطقة الشرقية,2023,fatality_ratio,0.18295218295218296
Eastern,المنطقة الشرقية,2024,fatality_ratio,0.17551309271054494
Hail,حائل,2020,fatality_ratio,0.21437908496732025
Hail,حائل,2021,fatality_ratio,0.2296416938110749
Hail,حائل,2022,fatality_ratio,0.37383177570093457
Hail,حائل,2023,fatality_ratio,0.5185185185185185
Hail,حائل,2024,fatality_ratio,0.3745704467353952
Jazan,جازان,2020,fatality_ratio,0.15083025830258304
Jazan,جازان,2021,fatality_ratio,0.19236800836382645
Jazan,جازان,2022,fatality_ratio,0.22954977805960686
Jazan,جازان,2023,fatality_ratio,0.21808510638297873
Jazan,جازان,2024,fatality_ratio,0.18754578754578755
Madinah,المدينة المنورة,2020,fatality_ratio,0.10566037735849057
Madinah,المدينة المنورة,2021,fatality_ratio,0.09423011266643906
Madinah,المدينة المنورة,2022,fatality_ratio,0.09918478260869565
Madinah,المدينة المنورة,2023,fatality_ratio,0.09040374488004681
Madinah,المدينة المنورة,2024,fatality_ratio,0.0912232204561161
Makkah,مكة المكرمة,2020,fatality_ratio,0.10079323109465892
Makkah,مكة المكرمة,2021,fatality_ratio,0.09670487106017192
Makkah,مكة المكرمة,2022,fatality_ratio,0.11032064128256514
Makkah,مكة المكرمة,2023,fatality_ratio,0.11233009708737864
Makkah,مكة المكرمة,2024,fatality_ratio,0.11376146788990826
Najran,نجران,2020,fatality_ratio,0.18210862619808307
Najran,نجران,2021,fatality_ratio,0.20748829953198128
Najran,نجران,2022,fatality_ratio,0.32142857142857145
Najran,نجران,2023,fatality_ratio,0.32142857142857145
Najran,نجران,2024,fatality_ratio,0.2612359550561798
Northern Borders,الحدود الشمالية,2020,fatality_ratio,0.1836734693877551
Northern Borders,الحدود الشمالية,2021,fatality_ratio,0.13270142180094788
Northern Borders,الحدود الشمالية,2022,fatality_ratio,0.12980769230769232
Northern Borders,الحدود الشمالية,2023,fatality_ratio,0.16293929712460065
Northern Borders,الحدود الشمالية,2024,fatality_ratio,0.16853932584269662
Qassim,القصيم,2020,fatality_ratio,0.1446923597025017
Qassim,القصيم,2021,fatality_ratio,0.18549511854951187
Qassim,القصيم,2022,fatality_ratio,0.1611962071480671
Qassim,القصيم,2023,fatality_ratio,0.17260061919504643
Qassim,القصيم,2024,fatality_ratio,0.1757847533632287
Riyadh,الرياض,2020,fatality_ratio,0.1847061061441887
Riyadh,الرياض,2021,fatality_ratio,0.18525147664220512
Riyadh,الرياض,2022,fatality_ratio,0.17312894499549145
Riyadh,الرياض,2023,fatality_ratio,0.17065333809353803
Riyadh,الرياض,2024,fatality_ratio,0.14761462205700124
Tabuk,تبوك,2020,fatality_ratio,0.20059880239520958
Tabuk,تبوك,2021,fatality_ratio,0.23557126030624265
Tabuk,تبوك,2022,fatality_ratio,0.2673130193905817
Tabuk,تبوك,2023,fatality_ratio,0.29827089337175794
Tabuk,تبوك,2024,fatality_ratio,0.2265246853823814
